,Epoch,MSE,Learning rate
0,0,0.6256323766398739,1
1,1,0.4705856531471401,1
2,2,0.4220862798876577,1
3,3,0.3694383749714145,1
4,4,0.2852256510938917,1
5,5,0.20904502195197266,1
6,6,0.1625002444564522,1
7,7,0.1326026613642643,1
8,8,0.08829477410037796,1
9,9,0.06523099817432366,1
10,10,0.054827678851880036,1
11,11,0.04787284977637328,1
12,12,0.038466319877218894,1
13,13,0.03439219025048343,1
14,14,0.03131367817714617,1
15,15,0.028051467515624963,1
16,16,0.024579486265391498,1
17,17,0.02207625708119436,1
18,18,0.020651559260758488,1
19,19,0.019446534431212907,1
